Orc_genre	Orc_species	Fun_order	Fun_family	Fun_genus	Fun_species	GBAN	lat	lon	geneRegion	DOI	Title	Author	Origin	pubmed	number	Notes
Orchis	Orchis tridentata	Cantharellales	Ceratobasidiaceae			JN683860	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Hypocreales	Nectriaceae	Fusarium		JN683842	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Cantharellales	Ceratobasidiaceae			JN683843	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Helotiales	Leptodontidiaceae	Leptodontidium		JN683844	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			Incertae sedis
Orchis	Orchis tridentata	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	JN683845	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Hypocreales	Nectriaceae	Fusarium		JN683846	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Cantharellales	Tulasnellaceae	Epulorhiza		JN683847	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Cantharellales	Tulasnellaceae	Epulorhiza		JN683848	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Saccharomycetales	Saccharomycetaceae	Candida		JN683849	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
Orchis	Orchis tridentata	Pezizales	Pezizaceae	Terfezia		JN683850	42.929914	11.875801	ITS1F,ITS4	DOI: 10.2478/s11535-012-0071-y	Analysis of fungal diversity in Orchis tridentata Scopoli	Pecoraro,L., Girlanda,M., Kull,T., Perini,C. and Perotto,S.	environmentalSample			
