Orc_genre,Orc_species,Fun_order,Fun_family,Fun_genus,Fun_species,GBAN,lat,lon,geneRegion,DOI,Title,Author,Origin,pubmed,number,Notes
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583703,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900305,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583697,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900306,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583702,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900307,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583705,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900308,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583701,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900309,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583706,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900310,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU909163,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900311,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583708,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900312,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis anthropophora,Cantharellales,tulasnellaceae,,,EU583707,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900313,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Cephalanthera damasonium,Cantharellales,tulasnellaceae,,,EU583698,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900314,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583698,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900315,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583709,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900316,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583710,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900317,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583711,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900318,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583713,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900319,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583712,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900320,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583718,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900321,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583719,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900322,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583717,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900323,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583714,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900324,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583716,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900325,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583720,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900326,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis simia,Cantharellales,tulasnellaceae,,,EU583715,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900327,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Cephalanthera damasonium,Cantharellales,tulasnellaceae,,,EU583692,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900328,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis xbergonii,Cantharellales,tulasnellaceae,,,EU583693,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900329,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis xbergonii,Cantharellales,tulasnellaceae,,,EU583694,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900330,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis xbergonii,Cantharellales,tulasnellaceae,,,EU583691,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900331,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
Orchis,Orchis xbergonii,Cantharellales,tulasnellaceae,,,EU583696,43.91277778,3.51361111,"ITS1F,ITS4",doi:10.3732/ajb.0900332,A case study of modified interactions with symbionts in a hybrid mediterranean orchid,Schatz B Geoffroy A Dainat B Bessi�re JM Buatois B Hossaert-McKey M Selosse MA ,environmentalSample,21616880,NA,
