"","Orc_species","lat","lon","population","cer","tul","ino","ser","seb","rus","the","N","P","K","pH","MinTemp","MaxPrec"
"1","Cephalanthera damasonium",48.35,2.35,"b",1,0,0,0,1,0,1,1.81256413459778,46.6320838928223,360.54345703125,7.41684341430664,0.5,168
"2","Cephalanthera damasonium ",42.933709,11.866624,"bm",1,0,0,0,1,0,0,2.02397656440735,10.2312965393066,286.160522460938,6.6036171913147,0.600000023841858,216
"3","Cephalanthera longifolia",43.173696,10.952269,"bl",0,0,0,0,1,0,0,1.9908139705658,18.6624031066895,288.942962646484,6.35366487503052,1.5,282
"4","Cephalanthera longifolia",43.508153,10.357236,"bk",0,0,0,0,0,0,1,2.06238698959351,15.2473573684692,225.275375366211,7.41839790344238,3.40000009536743,305
"5","Dactylorhiza baltica",59.319583,27.469556,"w",1,0,0,0,0,0,0,1.84616839885712,28.548978805542,161.493408203125,6.01593780517578,-10.6000003814697,236
"6","Dactylorhiza sambucina",39.317009,16.391507,"v",1,0,0,0,0,0,0,2.30819773674011,14.0161809921265,184.646591186523,6.32806253433228,-0.800000011920929,333
"7","Epipactis atrorubens",58.856972,23.047,"z",0,1,0,0,0,0,0,NA,NA,NA,NA,-5.80000019073486,210
"8","Himantoglossum adriaticum",42.92597,11.87873,"am",0,1,0,0,0,0,0,6.88750743865967,46.0686187744141,263.996704101562,6.41903448104858,0.200000002980232,233
"9","Himantoglossum adriaticum",43.15351,10.96098,"al",0,1,0,0,0,0,0,5.04756355285645,39.704761505127,161.654602050781,6.49727201461792,1.10000002384186,310
"10","Limodorum abortivum",39.243732,9.120478,"s",0,0,0,0,0,1,0,1.55320978164673,21.5637741088867,596.656188964844,7.44431400299072,5.69999980926514,153
"11","Limodorum abortivum",39.306455,16.255141,"r",0,0,0,0,0,1,0,NA,NA,NA,NA,5.90000009536743,394
"12","Limodorum abortivum",40.681232,14.765187,"l",0,0,0,0,0,1,0,NA,NA,NA,NA,4.80000019073486,423
"13","Limodorum abortivum",40.851445,14.273894,"m",0,0,0,0,0,1,0,NA,NA,NA,NA,4.80000019073486,395
"14","Limodorum abortivum",41.125312,14.065684,"n",0,0,0,0,0,1,0,2.34487080574036,43.1993179321289,589.814819335938,7.37211608886719,3.29999995231628,356
"15","Limodorum abortivum",41.461972,15.547688,"u",0,0,0,0,0,1,0,NA,NA,NA,NA,3.70000004768372,163
"16","Limodorum abortivum",42.118106,9.05762,"j",0,0,0,0,0,1,0,2.34916663169861,31.3502960205078,169.908462524414,6.35786962509155,-0.100000001490116,353
"17","Limodorum abortivum",42.770775,11.11358,"t",0,0,0,0,0,1,0,NA,NA,NA,NA,3.09999990463257,250
"18","Limodorum abortivum",43.327726,11.324213,"o",0,0,0,0,0,1,0,2.27689146995544,10.9444227218628,396.697875976562,7.27230215072632,2.70000004768372,272
"19","Limodorum abortivum",43.51425,6.818035,"e",0,0,0,0,0,1,0,2.5601634979248,0,125.433464050293,6.70677995681763,3,311
"20","Limodorum abortivum",43.542017,10.317728,"p",0,0,0,0,0,1,0,2.49944949150085,24.0087909698486,650.446044921875,7.42286443710327,3.5,296
"21","Limodorum abortivum",43.608509,3.871755,"c",0,0,0,0,0,1,0,NA,NA,NA,NA,3.20000004768372,220
"22","Limodorum abortivum",43.651254,5.649002,"f",0,0,0,0,0,1,0,1.77267396450043,8.43735408782959,252.119873046875,7.27506732940674,1.10000002384186,236
"23","Limodorum abortivum",43.766933,3.546611,"d",0,0,0,0,0,1,0,0.996380269527435,0,275.620941162109,6.31275701522827,1.20000004768372,274
