"","mean.cer1","mean.cer10","mean.cer18","mean.cer2","mean.cer20","mean.cer21","mean.cer22","mean.cer23","mean.cer25","mean.cer27","mean.cer29","mean.cer30","mean.cer31","mean.cer32","mean.cer34","mean.cer35","mean.cer36","mean.cer38","mean.cer39","mean.cer4","mean.cer40","mean.cer41","mean.cer42","mean.cer45","mean.cer46","mean.cer47","mean.ino11","mean.ino7","mean.ino8","mean.rus1","mean.rus18","mean.rus2","mean.rus26","mean.rus6","mean.seb12","mean.seb32","mean.ser1","mean.the32","mean.the33","mean.the35","mean.the36","mean.the7","mean.tul18","mean.tul23","mean.tul24","mean.tul25","mean.tul27","mean.tul43","mean.tul5","support.cer1","support.cer10","support.cer18","support.cer2","support.cer20","support.cer21","support.cer22","support.cer23","support.cer25","support.cer27","support.cer29","support.cer30","support.cer31","support.cer32","support.cer34","support.cer35","support.cer36","support.cer38","support.cer39","support.cer4","support.cer40","support.cer41","support.cer42","support.cer45","support.cer46","support.cer47","support.ino11","support.ino7","support.ino8","support.rus1","support.rus18","support.rus2","support.rus26","support.rus6","support.seb12","support.seb32","support.ser1","support.the32","support.the33","support.the35","support.the36","support.the7","support.tul18","support.tul23","support.tul24","support.tul25","support.tul27","support.tul43","support.tul5"
"cer1",1,0.256784324230032,0.149042638930944,0.371665669845316,0.378807720810058,0.34421742515909,0.330259617067516,0.341627021882642,0.376766290587152,0.286628394666515,0.372096686879051,0.343841390722349,0.377788949958807,0.258058112346425,0.373048340216486,0.365944528788823,0.361979157905293,0.342250831805869,0.380754169766596,0.378986372659344,0.378658766049398,0.376275703544323,0.36294087378997,0.327966661658133,0.380959856711429,0.300104069478115,0.300904161269384,0.35719181905409,0.18496534616006,-0.37983336682596,0.263197587859031,-0.378394543345173,0.240762406279609,-0.371978439855724,0.372934098985171,0.205102301469536,0.375832932259219,0.179755977689381,0.277408600526714,0.328715449016764,0.256049385301715,0.363025199789058,0.126583665559231,-0.219754102928276,-0.189212578866633,-0.231344887009757,-0.134265344849043,-0.154112152065787,-0.231309870426362,1,0.6345,0.5875,0.6965,0.698,0.6825,0.678,0.6835,0.7015,0.6515,0.699,0.6855,0.699,0.638,0.7,0.6955,0.6965,0.6825,0.6995,0.6965,0.6995,0.698,0.695,0.6775,0.699,0.6635,0.6645,0.69,0.5985,0.301,0.6415,0.3005,0.636,0.3055,0.695,0.61,0.6955,0.5975,0.6615,0.675,0.631,0.695,0.574,0.3805,0.3965,0.372,0.4275,0.4175,0.378
"cer10",0.256784324230032,1,0.249013557457722,0.602210417539133,0.614941734909424,0.553872553485186,0.511634963064469,0.54735880238733,0.611459107239547,0.485607396803763,0.60000830586421,0.562535066803994,0.614166066156649,0.393244215898704,0.606527340864697,0.594374326113293,0.559184219316288,0.535284371064589,0.614529459176361,0.612438898374151,0.612475626694227,0.609597497413747,0.574411845364801,0.522815081803512,0.615288606557839,0.509311714945035,0.503759829181852,0.573375642318584,0.296715507483878,-0.614593213372082,0.445576001524187,-0.608896198671305,0.372556103300981,-0.602023168743849,0.608396392557543,0.357667061513321,0.597044354068282,0.25939508948842,0.419538558358529,0.498891997088117,0.428749750900946,0.588180567187709,0.178004811676086,-0.368281970825582,-0.342464890370267,-0.408328737472509,-0.230486698916622,-0.27280530757719,-0.376573835014576,0.6345,1,0.6445,0.8225,0.8265,0.7995,0.779,0.8025,0.8285,0.7645,0.8235,0.809,0.8285,0.7115,0.8215,0.821,0.8025,0.7865,0.827,0.8275,0.826,0.827,0.8105,0.79,0.827,0.78,0.7775,0.8105,0.6645,0.1745,0.7435,0.1725,0.703,0.1765,0.829,0.701,0.821,0.6425,0.734,0.7695,0.7275,0.814,0.5985,0.299,0.309,0.2765,0.373,0.3465,0.2915
"cer18",0.149042638930944,0.249013557457722,1,0.389751887024543,0.393340920119752,0.345308360511302,0.324360032383593,0.347020152690608,0.387532118372937,0.314440380969912,0.383174172141072,0.358072049745215,0.390280407092697,0.225606408415814,0.388136897339074,0.376915590833219,0.374165518253951,0.334724272638569,0.39272768537093,0.39180802649659,0.390755561392907,0.388678067068088,0.383936602537748,0.336884045274027,0.39404604090549,0.316590275722143,0.316891771900612,0.368138667357059,0.19430360395658,-0.390569135620996,0.28107469728253,-0.39087510472725,0.250985586728982,-0.388770946244045,0.384496163831239,0.216132768224721,0.374439177411479,0.187355825454293,0.24893360018005,0.319252757231321,0.285871674316822,0.383057521734173,0.125677572460568,-0.253229027185203,-0.20286502268376,-0.262685971949509,-0.142113664166352,-0.175332016564997,-0.226791675511328,0.5875,0.6445,1,0.7095,0.7105,0.6915,0.6785,0.6915,0.707,0.674,0.7075,0.6965,0.7115,0.6245,0.7115,0.7035,0.706,0.6835,0.711,0.7115,0.713,0.7105,0.7115,0.6875,0.711,0.672,0.6695,0.7,0.6105,0.29,0.6555,0.2895,0.635,0.2885,0.705,0.6185,0.706,0.6015,0.635,0.672,0.665,0.7075,0.58,0.3585,0.387,0.3545,0.424,0.404,0.3765
"cer2",0.371665669845316,0.602210417539133,0.389751887024543,1,0.979647529622607,0.870028338933142,0.816790135625887,0.86711403671793,0.964713834257526,0.745098873986497,0.951851315186758,0.88151244457733,0.974433675249237,0.623111255248972,0.9607172375,0.949867390325499,0.900283305849905,0.851429075034482,0.978256636372922,0.975169197273942,0.973788112430668,0.967716756566856,0.908725861614779,0.823984217757168,0.976166774447343,0.778724266379222,0.800070402469978,0.920753870037465,0.478082118587333,-0.977191148244502,0.667147674108547,-0.969666731632446,0.587593236462854,-0.951747522849627,0.964493299412573,0.539195952221771,0.946341043174669,0.438294559597612,0.654149929725905,0.806699302920731,0.673561188077285,0.934617097655005,0.28294395328572,-0.580771954537604,-0.516264108065443,-0.6327840285592,-0.357628601985655,-0.45873687560841,-0.588982521341132,0.6965,0.8225,0.7095,1,0.9975,0.955,0.931,0.9535,0.9955,0.893,0.991,0.961,0.997,0.833,0.994,0.9905,0.9685,0.946,0.997,0.997,0.997,0.9965,0.9735,0.936,0.9965,0.9085,0.922,0.9785,0.7575,0.0025,0.851,0.004,0.814,0.012,0.995,0.787,0.9895,0.735,0.8505,0.926,0.857,0.983,0.6515,0.1965,0.2235,0.166,0.312,0.2575,0.1975
"cer20",0.378807720810058,0.614941734909424,0.393340920119752,0.979647529622607,1,0.883192210701879,0.832620237748868,0.880052088139995,0.981155583254637,0.759513372404833,0.96915351158911,0.896458817434577,0.991144608285163,0.633333359669903,0.976458545077951,0.966205697370881,0.915430345341442,0.866454719672403,0.995560723439784,0.991998159740894,0.990408201540249,0.984136531416368,0.925038776553666,0.837981426785344,0.992629165383972,0.791392981476692,0.8136450426697,0.93697052666219,0.483397404107769,-0.993504832167803,0.678095890455125,-0.986498382045495,0.595216691477876,-0.968563055485281,0.981260175397006,0.546374131154083,0.962010752679847,0.443188094468337,0.661524952545602,0.820188796115899,0.683724373499606,0.950843171041908,0.28389169109085,-0.587870402562574,-0.528479821997593,-0.64435102895374,-0.364320057786346,-0.462121624301149,-0.598550154752144,0.698,0.8265,0.7105,0.9975,1,0.959,0.9325,0.9565,0.9985,0.896,0.9945,0.965,1,0.832,0.9955,0.993,0.9715,0.95,1,1,0.9995,0.9985,0.9765,0.94,0.9995,0.9105,0.925,0.9815,0.757,0,0.8555,0.0015,0.815,0.008,0.9985,0.7875,0.992,0.7345,0.849,0.928,0.8585,0.9865,0.65,0.1955,0.224,0.162,0.3065,0.257,0.1905
"cer21",0.34421742515909,0.553872553485186,0.345308360511302,0.870028338933142,0.883192210701879,1,0.736030975444077,0.787321636409225,0.870491418569426,0.677836946447917,0.861978749285009,0.79629187870353,0.878908365708731,0.565702509685047,0.867149319679029,0.856347822559026,0.811951897998203,0.766415250409578,0.882821857279333,0.879444251811247,0.878331363502218,0.872318935245561,0.821464664212196,0.744366642062651,0.880361365287705,0.703497190420477,0.717578219261233,0.831768588286692,0.420666257660885,-0.881722967258489,0.603746020636454,-0.876825878855681,0.528837492228603,-0.860216952529335,0.871702503110706,0.491154168857699,0.853958076811966,0.389587929397392,0.586946171900682,0.736268536084488,0.610620755231961,0.845574734114797,0.258324609710768,-0.520101258210199,-0.458422242773039,-0.572404153118904,-0.313229659871185,-0.39854761026275,-0.526893138373897,0.6825,0.7995,0.6915,0.955,0.959,1,0.8935,0.924,0.957,0.862,0.9535,0.923,0.958,0.804,0.952,0.95,0.933,0.9055,0.9595,0.958,0.9585,0.9565,0.934,0.9005,0.959,0.8745,0.8855,0.9385,0.728,0.042,0.824,0.043,0.7865,0.0475,0.9575,0.7675,0.948,0.713,0.818,0.896,0.831,0.946,0.641,0.222,0.2555,0.1895,0.3295,0.2845,0.223
"cer22",0.330259617067516,0.511634963064469,0.324360032383593,0.816790135625887,0.832620237748868,0.736030975444077,1,0.736430680795538,0.821386135492364,0.63800866497314,0.808214856719044,0.753203308041869,0.830194119407369,0.539442776710607,0.816303824482957,0.809399667970678,0.762922868521588,0.724286572847058,0.83195735467623,0.830074544482195,0.826731601031744,0.823170820898655,0.780865222484434,0.714277167527412,0.829258616653518,0.664650537355759,0.679350364901503,0.792644618299273,0.407123063241301,-0.830276074971516,0.575575617011827,-0.82359579925866,0.50260482824264,-0.807292381496093,0.820607139650457,0.453768603522863,0.804379424017829,0.368116232194927,0.553008006688206,0.689733723888067,0.567941207144642,0.798123592607082,0.231612860392496,-0.489431605768751,-0.439667383562011,-0.538913221734202,-0.303868954786609,-0.399824634747937,-0.511860450564162,0.678,0.779,0.6785,0.931,0.9325,0.8935,1,0.894,0.9305,0.8375,0.9255,0.902,0.9335,0.7925,0.93,0.9265,0.9065,0.882,0.9315,0.932,0.931,0.931,0.9125,0.885,0.9305,0.8575,0.8645,0.921,0.7205,0.0685,0.8135,0.069,0.774,0.0745,0.931,0.747,0.923,0.699,0.8005,0.872,0.809,0.923,0.627,0.238,0.266,0.209,0.3365,0.2795,0.224
"cer23",0.341627021882642,0.54735880238733,0.347020152690608,0.86711403671793,0.880052088139995,0.787321636409225,0.736430680795538,1,0.867563618837148,0.689053920751721,0.856881384462935,0.790867841008929,0.876229272324685,0.552451708044134,0.864944688102269,0.852359482758467,0.806146147039997,0.772564201580535,0.879446365774314,0.87705623757917,0.877085968964331,0.870838415218168,0.821321516720432,0.740445787560708,0.877444863954018,0.701644837817278,0.726277881383114,0.827186996616681,0.434250480320362,-0.877293805187158,0.598404537778095,-0.872926672646472,0.524938914493154,-0.856495970837696,0.867310056990421,0.48347593475678,0.849932432502298,0.39155287120938,0.593242206812508,0.731630098278816,0.600011416760804,0.835951962752227,0.250734846768082,-0.513387215744629,-0.477691090711214,-0.570812420304603,-0.318196345051923,-0.402822723647255,-0.517658084196408,0.6835,0.8025,0.6915,0.9535,0.9565,0.924,0.894,1,0.954,0.8685,0.9535,0.9245,0.956,0.8045,0.952,0.9495,0.928,0.9075,0.9575,0.9555,0.9555,0.9565,0.936,0.8985,0.956,0.8725,0.891,0.9375,0.7375,0.044,0.826,0.0435,0.7875,0.0495,0.9545,0.764,0.95,0.7095,0.819,0.8915,0.83,0.941,0.636,0.224,0.241,0.1945,0.3295,0.2805,0.2275
"cer25",0.376766290587152,0.611459107239547,0.387532118372937,0.964713834257526,0.981155583254637,0.870491418569426,0.821386135492364,0.867563618837148,1,0.749484850761384,0.955151451053303,0.883547826393485,0.976704381821249,0.622947660348509,0.963132347519716,0.951033057403331,0.901701534900612,0.852588803915959,0.980843321652667,0.976819567545461,0.976051193049187,0.969564929419983,0.912828070964076,0.826574682314164,0.978506181539629,0.776923823890059,0.80368628443344,0.923693887714541,0.478099826183415,-0.979046439149103,0.665312697588178,-0.972442664264898,0.589618627347265,-0.953757190357992,0.967357166371386,0.538900484711089,0.948731594775132,0.435066416918615,0.653413189834586,0.809691303082295,0.673251983520887,0.93771912031596,0.281685888227956,-0.579228657423298,-0.520646626412739,-0.632160563817508,-0.361755861700715,-0.457747340249822,-0.595224424560617,0.7015,0.8285,0.707,0.9955,0.9985,0.957,0.9305,0.954,1,0.8935,0.9935,0.9625,0.9985,0.83,0.9945,0.991,0.968,0.9465,0.9985,0.9985,0.9975,0.9975,0.975,0.94,0.998,0.908,0.923,0.9805,0.756,0.0015,0.8535,0.004,0.814,0.0095,0.997,0.788,0.9895,0.728,0.8465,0.927,0.8575,0.984,0.6515,0.1965,0.2235,0.1655,0.306,0.258,0.1875
"cer27",0.286628394666515,0.485607396803763,0.314440380969912,0.745098873986497,0.759513372404833,0.677836946447917,0.63800866497314,0.689053920751721,0.749484850761384,1,0.742955911714168,0.682902705114287,0.757144145389106,0.466106152984567,0.743672895870677,0.736407045982831,0.700421275507436,0.671387383771949,0.759079169398975,0.756539025822469,0.755129418796196,0.748899253451451,0.708801649498975,0.651335690006793,0.757410727946887,0.615330826994724,0.614977551589439,0.713189445999799,0.37789080622501,-0.757217982573934,0.528847423720018,-0.753337551164919,0.466599692403404,-0.738328605708338,0.749525671557815,0.42816772296226,0.732919396180481,0.344046293048973,0.51442915176461,0.634600370318601,0.518065230455273,0.727115270097897,0.218486684873913,-0.454684776681499,-0.415330261083759,-0.497019821134686,-0.28257426289469,-0.353681843309637,-0.471564840332293,0.6515,0.7645,0.674,0.893,0.896,0.862,0.8375,0.8685,0.8935,1,0.8905,0.8615,0.8935,0.742,0.8895,0.888,0.8735,0.855,0.894,0.893,0.895,0.8915,0.8725,0.852,0.8925,0.8315,0.8305,0.8805,0.7065,0.1085,0.788,0.107,0.7495,0.111,0.8935,0.7335,0.8905,0.6845,0.78,0.8405,0.7805,0.88,0.6215,0.258,0.2755,0.23,0.3455,0.3145,0.2505
