"","mean.rus1","mean.rus10","mean.rus11","mean.rus12","mean.rus13","mean.rus14","mean.rus15","mean.rus16","mean.rus17","mean.rus18","mean.rus19","mean.rus2","mean.rus20","mean.rus21","mean.rus22","mean.rus23","mean.rus24","mean.rus25","mean.rus26","mean.rus27","mean.rus28","mean.rus3","mean.rus4","mean.rus5","mean.rus6","mean.rus7","mean.rus8","mean.rus9","support.rus1","support.rus10","support.rus11","support.rus12","support.rus13","support.rus14","support.rus15","support.rus16","support.rus17","support.rus18","support.rus19","support.rus2","support.rus20","support.rus21","support.rus22","support.rus23","support.rus24","support.rus25","support.rus26","support.rus27","support.rus28","support.rus3","support.rus4","support.rus5","support.rus6","support.rus7","support.rus8","support.rus9","mean.rus1.1","mean.rus10.1","mean.rus11.1","mean.rus12.1","mean.rus13.1","mean.rus14.1","mean.rus15.1","mean.rus16.1","mean.rus17.1","mean.rus18.1","mean.rus19.1","mean.rus2.1","mean.rus20.1","mean.rus21.1","mean.rus22.1","mean.rus23.1","mean.rus24.1","mean.rus25.1","mean.rus26.1","mean.rus27.1","mean.rus28.1","mean.rus3.1","mean.rus4.1","mean.rus5.1","mean.rus6.1","mean.rus7.1","mean.rus8.1","mean.rus9.1","support.rus1.1","support.rus10.1","support.rus11.1","support.rus12.1","support.rus13.1","support.rus14.1","support.rus15.1","support.rus16.1","support.rus17.1","support.rus18.1","support.rus19.1","support.rus2.1","support.rus20.1","support.rus21.1","support.rus22.1","support.rus23.1","support.rus24.1","support.rus25.1","support.rus26.1","support.rus27.1","support.rus28.1","support.rus3.1","support.rus4.1","support.rus5.1","support.rus6.1","support.rus7.1","support.rus8.1","support.rus9.1"
"rus1",1,0.132219550992605,0.299381662608747,0.143984801783733,0.0875744258179626,0.114461942927015,0.0776375810359068,0.171347588455386,-0.0158596166617007,-0.642986955836128,-0.00416843137576055,0.500177354454247,-0.25378132469933,-0.319015106481291,-0.527690561512394,-0.421197752828367,-0.270279252265699,-0.482342774587789,-0.6077293131077,-0.284275429326443,-0.31450217240638,0.409721573721462,0.207599769016758,0.220792388670184,0.394100692165925,0.230497319839967,0.138393751590615,0.0924404641665417,1,0.573333333333333,0.653333333333333,0.572,0.546666666666667,0.564,0.54,0.597333333333333,0.498666666666667,0.168,0.494666666666667,0.757333333333333,0.378666666666667,0.329333333333333,0.228,0.286666666666667,0.353333333333333,0.253333333333333,0.192,0.354666666666667,0.34,0.713333333333333,0.608,0.612,0.704,0.621333333333333,0.577333333333333,0.554666666666667,1,-0.0352178826049796,-0.0422207089801001,-0.00125044410190776,-0.126839971986846,-0.0346293548805025,0.0827630169818785,0.0851756408683132,0.0307398412772495,0.035697014259947,-0.0158182677577706,0.0591772709114518,-0.0651675882706387,0.0160118432495162,-0.0646312409638777,0.0235915340419135,0.0137310766208036,0.0382741703542333,-0.0153965155450696,0.0103093370374175,0.00252662378240727,0.0573656528829872,0.0117322493844854,-0.00678332950751367,-0.0532865036688274,0.000361013924170606,0.0441308038987426,-0.033916563305129,1,0.476,0.481333333333333,0.497333333333333,0.432,0.486666666666667,0.546666666666667,0.533333333333333,0.521333333333333,0.525333333333333,0.494666666666667,0.537333333333333,0.465333333333333,0.498666666666667,0.462666666666667,0.510666666666667,0.496,0.522666666666667,0.494666666666667,0.502666666666667,0.5,0.532,0.513333333333333,0.505333333333333,0.470666666666667,0.506666666666667,0.522666666666667,0.490666666666667
"rus10",0.132219550992605,1,0.00133753760026928,0.0426764560672511,0.0595455824176623,0.0465407564951885,-0.00499546474509482,0.0185768480383142,0.0852850108254039,-0.142956779197981,0.0116929127426539,0.0718436210203701,-0.0659857760763564,-0.054826735719158,-0.107577392298188,-0.129121275845872,-0.0690161147955304,-0.0619076215597081,-0.0965950306651762,-0.0220466407167422,-0.021537022074159,0.0838411417982969,0.0241146734202328,0.0874976498463668,0.0507730418920002,0.0206819922957193,0.0246816172306894,0.000700901701961349,0.573333333333333,1,0.494666666666667,0.517333333333333,0.532,0.529333333333333,0.493333333333333,0.496,0.544,0.428,0.506666666666667,0.532,0.450666666666667,0.477333333333333,0.444,0.430666666666667,0.466666666666667,0.468,0.456,0.497333333333333,0.492,0.546666666666667,0.504,0.546666666666667,0.525333333333333,0.512,0.513333333333333,0.496,-0.0352178826049796,1,0.135752536035189,-0.00268646782793884,0.0483382664474244,0.0146745824289316,-0.035642500834872,-0.0376033246465704,-0.00302492998326262,-0.0165891418990034,-0.0283485036031732,-0.0162480449247571,0.00246546956952818,0.0448914502947545,-0.00282161171682692,-0.0704808390458893,0.00495408119162118,0.0548744478641567,0.0221079434648463,-0.0418651603659706,0.00489680452795036,-0.0168417916541949,-0.0318172774859324,0.0313038083793581,0.0194765858342414,0.0342514866445229,-0.0395033342684619,0.111960890532855,0.476,1,0.576,0.502666666666667,0.526666666666667,0.506666666666667,0.473333333333333,0.482666666666667,0.501333333333333,0.488,0.496,0.477333333333333,0.5,0.524,0.498666666666667,0.452,0.508,0.532,0.512,0.481333333333333,0.508,0.493333333333333,0.484,0.514666666666667,0.52,0.518666666666667,0.477333333333333,0.554666666666667
"rus11",0.299381662608747,0.00133753760026928,1,0.127164087467595,0.0479122436949186,0.0961408843561706,0.0604397959277408,0.0847934032800848,-0.0326432955930631,-0.322287547384812,-0.0061691843975476,0.249786338162668,-0.169417609602609,-0.140446678554999,-0.264720158617956,-0.268985090112048,-0.122005344786895,-0.269226876428522,-0.302039295134145,-0.154875222889031,-0.188440546436761,0.242012540043056,0.101979881117564,0.123419290546017,0.248564640724168,0.124118410751441,0.114048822144783,0.00666075173264805,0.653333333333333,0.494666666666667,1,0.564,0.512,0.557333333333333,0.533333333333333,0.545333333333333,0.486666666666667,0.334666666666667,0.490666666666667,0.626666666666667,0.424,0.432,0.36,0.358666666666667,0.434666666666667,0.353333333333333,0.34,0.42,0.396,0.628,0.56,0.566666666666667,0.626666666666667,0.568,0.566666666666667,0.505333333333333,-0.0422207089801001,0.135752536035189,1,-0.011792709608775,0.00958978889484011,-0.00568393057864742,-0.0421441508810622,-0.00326687469121725,-0.0216071029859009,0.00673746226915876,-0.00179689197166399,-0.0314729884244048,-0.000190368978534619,-0.00267705143980737,0.0315513628112492,-0.0110021010494774,0.0363594648607211,-0.0755077312561391,-0.00571933991349534,0.00944179284047378,-0.0165230156676871,-0.0103640281391815,0.0394928485762301,0.0196286500011964,0.0458909038717649,-0.00785623702118856,-0.0311247206731286,0.145556410276558,0.481333333333333,0.576,1,0.492,0.505333333333333,0.490666666666667,0.478666666666667,0.505333333333333,0.492,0.510666666666667,0.508,0.486666666666667,0.5,0.502666666666667,0.516,0.493333333333333,0.509333333333333,0.462666666666667,0.489333333333333,0.510666666666667,0.492,0.497333333333333,0.518666666666667,0.504,0.52,0.501333333333333,0.481333333333333,0.574666666666667
"rus12",0.143984801783733,0.0426764560672511,0.127164087467595,1,0.000183161605678696,0.0386122460856209,0.0334761026956912,0.0296304285535842,-0.0064447185729085,-0.155946363465325,0.0632251898984687,0.129793517640252,-0.0877756386912743,-0.0966506466075463,-0.103996733793849,-0.124302876815002,-0.105659872040507,-0.105387472608281,-0.135761654805913,-0.0622438933909822,-0.0897132820772824,0.0711972629319819,0.037712754879159,0.0674493956262566,0.0583619336495697,0.0318091443170824,0.0717555238408635,0.00126894121553669,0.572,0.517333333333333,0.564,1,0.494666666666667,0.525333333333333,0.518666666666667,0.517333333333333,0.494666666666667,0.414666666666667,0.526666666666667,0.570666666666667,0.456,0.446666666666667,0.446666666666667,0.428,0.438666666666667,0.445333333333333,0.429333333333333,0.469333333333333,0.453333333333333,0.538666666666667,0.516,0.538666666666667,0.522666666666667,0.525333333333333,0.549333333333333,0.498666666666667,-0.00125044410190776,-0.00268646782793884,-0.011792709608775,1,0.0202622915472456,-0.0032739125205694,-0.018218871752339,-0.0213892511586968,-0.0333088848796028,-0.0107746843578988,0.0141081203313308,-0.0709254463809094,0.00537132990354362,-0.0225023444121044,-0.07218045360325,-0.0233567330761585,-0.0251880928077865,-0.0159500839819397,-0.00227609144583374,-0.0261571487310281,0.0035037472864171,-0.0205828883416594,0.0395437724138807,0.0434074338204266,-0.0174216121088666,-0.00302075694421515,0.0470363087919324,-0.0450482538656793,0.497333333333333,0.502666666666667,0.492,1,0.510666666666667,0.501333333333333,0.489333333333333,0.492,0.476,0.498666666666667,0.501333333333333,0.449333333333333,0.502666666666667,0.485333333333333,0.449333333333333,0.493333333333333,0.486666666666667,0.489333333333333,0.504,0.473333333333333,0.508,0.494666666666667,0.517333333333333,0.530666666666667,0.488,0.505333333333333,0.518666666666667,0.478666666666667
"rus13",0.0875744258179626,0.0595455824176623,0.0479122436949186,0.000183161605678696,1,0.020444225280559,-0.0065816840502191,0.0387733105993302,-0.000375906594826669,-0.121967259266419,0.00565786940167658,0.0888980205417334,-0.0400736361288989,-0.0739564394808983,-0.0449041367939593,-0.0652480796768815,-0.0948356853894654,-0.0549297625195936,-0.0686510935776144,-0.0340785785280295,-0.0605910998752195,0.057251965987215,0.0761763600203185,0.0180728969557572,0.0873078507440917,-0.0126915544699929,0.0182252168251923,0.0704860390912269,0.546666666666667,0.532,0.512,0.494666666666667,1,0.513333333333333,0.504,0.513333333333333,0.501333333333333,0.442666666666667,0.497333333333333,0.541333333333333,0.485333333333333,0.465333333333333,0.482666666666667,0.473333333333333,0.449333333333333,0.476,0.466666666666667,0.486666666666667,0.466666666666667,0.525333333333333,0.530666666666667,0.505333333333333,0.542666666666667,0.485333333333333,0.508,0.536,-0.126839971986846,0.0483382664474244,0.00958978889484011,0.0202622915472456,1,0.0222794551910814,-0.0231875357431032,-0.014719602774553,0.0119866187771367,-0.0158443399389146,0.0321974651876032,-0.01900661279704,-0.0133515889872933,0.0226854898681802,-0.0603098060360835,0.00414086937110082,0.00307538594095239,-0.0133383159033539,0.00848914031301613,-0.0315563144767536,-0.0510749249296856,-0.0238912041918217,-0.0369621252344747,0.0156000645966679,0.026887587025859,-0.0122433677375895,-0.00631168239069087,-0.0242823606610536,0.432,0.526666666666667,0.505333333333333,0.510666666666667,1,0.508,0.496,0.489333333333333,0.501333333333333,0.492,0.513333333333333,0.488,0.496,0.526666666666667,0.470666666666667,0.505333333333333,0.504,0.490666666666667,0.5,0.478666666666667,0.477333333333333,0.482666666666667,0.481333333333333,0.513333333333333,0.513333333333333,0.498666666666667,0.496,0.484
"rus14",0.114461942927015,0.0465407564951885,0.0961408843561706,0.0386122460856209,0.020444225280559,1,0.00713233611235179,0.0508816354364114,0.00836230376606699,-0.129701298632794,-0.0464974777302356,0.0969486124606934,-0.0404584315949828,-0.0291104150681764,-0.0998714857868839,-0.059819667013952,-0.0425704234656236,-0.10787719055466,-0.112556433251915,-0.064437681240478,-0.054773994506787,0.11251959112439,0.0424045040396518,0.0578127681940378,0.113866193669481,0.0832042148049614,0.0889678575766759,0.00922035816925718,0.564,0.529333333333333,0.557333333333333,0.525333333333333,0.513333333333333,1,0.502666666666667,0.522666666666667,0.510666666666667,0.432,0.466666666666667,0.550666666666667,0.481333333333333,0.486666666666667,0.436,0.46,0.464,0.433333333333333,0.437333333333333,0.465333333333333,0.48,0.562666666666667,0.510666666666667,0.544,0.568,0.546666666666667,0.550666666666667,0.505333333333333,-0.0346293548805025,0.0146745824289316,-0.00568393057864742,-0.0032739125205694,0.0222794551910814,1,-0.035871462871315,-0.0264309482181693,-0.0134217552922844,-0.00803193686737176,-0.0191988001250595,0.0500208086997704,-0.0334078878850694,0.014124387332751,-0.00594795556460181,0.0296593843853974,-0.0127600551443167,-0.00261915416200522,-0.0755162199243336,0.0255306428376213,-0.0250510389178037,-0.0456500206486426,0.00588801918433211,0.0315036584414567,0.0179803415160871,-0.0389599558020845,-0.0284945474067829,0.0362158671176022,0.486666666666667,0.506666666666667,0.490666666666667,0.501333333333333,0.508,1,0.490666666666667,0.489333333333333,0.486666666666667,0.493333333333333,0.486666666666667,0.522666666666667,0.476,0.514666666666667,0.5,0.504,0.494666666666667,0.5,0.466666666666667,0.513333333333333,0.489333333333333,0.48,0.501333333333333,0.514666666666667,0.502666666666667,0.472,0.48,0.524
"rus15",0.0776375810359068,-0.00499546474509482,0.0604397959277408,0.0334761026956912,-0.00658168405021911,0.00713233611235179,1,0.0543954038202819,0.0279335939276301,-0.089394552938862,-0.0176542633529688,0.0842123751141407,-0.0202929008547725,-0.0559713896889109,-0.120788470499102,-0.0776491616654444,-0.0817241332650957,-0.0898625281558001,-0.0694418398835417,-0.0384123754461051,-0.00719755697949247,0.0677812040218605,0.052122730161952,0.0209463497934264,0.114883818023101,0.0331749571826046,0.0231632071005764,0.0234749356181729,0.54,0.493333333333333,0.533333333333333,0.518666666666667,0.504,0.502666666666667,1,0.538666666666667,0.514666666666667,0.446666666666667,0.486666666666667,0.545333333333333,0.496,0.465333333333333,0.436,0.465333333333333,0.454666666666667,0.449333333333333,0.458666666666667,0.478666666666667,0.502666666666667,0.532,0.530666666666667,0.514666666666667,0.558666666666667,0.512,0.510666666666667,0.513333333333333,0.0827630169818785,-0.035642500834872,-0.0421441508810623,-0.018218871752339,-0.0231875357431032,-0.035871462871315,1,0.00107354726490859,-0.0283564441367627,-0.0218180882526116,0.0170085634611371,0.0629710293120879,0.0823065424262791,-0.011716967667421,-0.00417421533858769,-0.0390624975979462,0.0190134885476028,0.0480666219789208,-0.0386137254413135,0.0509844743699417,-0.0296481375928591,-0.00524061696650438,0.0123088625187586,0.0573626309943859,0.0414647431355184,0.0121518794726471,0.0176373125981679,-0.0259786754360316,0.546666666666667,0.473333333333333,0.478666666666667,0.489333333333333,0.496,0.490666666666667,1,0.489333333333333,0.486666666666667,0.486666666666667,0.510666666666667,0.529333333333333,0.545333333333333,0.490666666666667,0.502666666666667,0.490666666666667,0.506666666666667,0.534666666666667,0.476,0.52,0.478666666666667,0.5,0.506666666666667,0.54,0.518666666666667,0.514666666666667,0.509333333333333,0.481333333333333
"rus16",0.171347588455386,0.0185768480383142,0.0847934032800848,0.0296304285535842,0.0387733105993302,0.0508816354364114,0.0543954038202819,1,0.0410291423890405,-0.202887326924914,0.0247534032804744,0.169305611706471,-0.133408039102764,-0.0790119393736106,-0.160654677141931,-0.140297054181304,-0.0489416244760893,-0.177886811646595,-0.236869642816845,-0.120692322267661,-0.0840715477299134,0.127647407348604,0.034283919833427,0.0785918232538143,0.151325271301927,0.0966248288918032,0.00818273914789936,0.0384325904882219,0.597333333333333,0.496,0.545333333333333,0.517333333333333,0.513333333333333,0.522666666666667,0.538666666666667,1,0.521333333333333,0.393333333333333,0.514666666666667,0.585333333333333,0.430666666666667,0.470666666666667,0.414666666666667,0.426666666666667,0.48,0.408,0.381333333333333,0.44,0.453333333333333,0.562666666666667,0.514666666666667,0.546666666666667,0.578666666666667,0.556,0.501333333333333,0.518666666666667,0.0851756408683132,-0.0376033246465704,-0.00326687469121725,-0.0213892511586968,-0.014719602774553,-0.0264309482181693,0.00107354726490859,1,0.00599853386323091,0.0225941353999809,-0.0146683155124816,0.0276726609358548,-0.000403764233014569,-0.048211799451616,-0.0494512698241515,0.0423341796859803,0.004822114301206,0.0134147480498359,-0.0133487093639857,0.00213571752582913,0.0337206935535585,0.0761220357301517,0.0174090791687135,0.0590253514920788,-0.0399593185492101,0.0311382121550643,0.0204785914858841,0.0149467583152689,0.533333333333333,0.482666666666667,0.505333333333333,0.492,0.489333333333333,0.489333333333333,0.489333333333333,1,0.498666666666667,0.518666666666667,0.492,0.509333333333333,0.497333333333333,0.469333333333333,0.48,0.532,0.508,0.5,0.481333333333333,0.494666666666667,0.52,0.529333333333333,0.514666666666667,0.534666666666667,0.478666666666667,0.506666666666667,0.510666666666667,0.509333333333333
"rus17",-0.0158596166617007,0.085285010825404,-0.0326432955930631,-0.00644471857290849,-0.000375906594826669,0.00836230376606699,0.0279335939276301,0.0410291423890405,1,-0.0214257977253428,0.0122261860240479,-0.0469700988148149,0.0227318498960668,-0.00327573523642937,0.0167496338930596,0.0016878369444928,-0.026475317141889,0.012647154948019,-0.0539335064597875,-0.015240737963593,-0.0317719988470507,-0.0555105533082326,-0.0105213820304292,-0.00827887192285051,-0.0100273860062268,-0.0298667981677686,-0.0013881318388939,-0.00375522686595272,0.498666666666667,0.544,0.486666666666667,0.494666666666667,0.501333333333333,0.510666666666667,0.514666666666667,0.521333333333333,1,0.482666666666667,0.505333333333333,0.474666666666667,0.521333333333333,0.5,0.504,0.494666666666667,0.48,0.510666666666667,0.469333333333333,0.490666666666667,0.477333333333333,0.469333333333333,0.492,0.485333333333333,0.5,0.488,0.497333333333333,0.493333333333333,0.0307398412772495,-0.00302492998326262,-0.0216071029859009,-0.0333088848796028,0.0119866187771367,-0.0134217552922844,-0.0283564441367627,0.0059985338632309,1,-0.0317866770757052,0.0330819732135835,0.00208916267741145,0.0236435514871557,-0.0354125833118962,0.00455449852948875,0.00172513554602321,-0.0479386135658023,-0.0172151814913462,0.00704052312972838,0.0201970112517404,0.00339290569909222,0.0207694021869672,-0.0385860238783351,-0.00412484142217007,-0.00696986570093891,0.0396764917317382,-0.0079055537406754,-0.0232206673447576,0.521333333333333,0.501333333333333,0.492,0.476,0.501333333333333,0.486666666666667,0.486666666666667,0.498666666666667,1,0.474666666666667,0.526666666666667,0.497333333333333,0.518666666666667,0.485333333333333,0.496,0.498666666666667,0.470666666666667,0.492,0.510666666666667,0.512,0.508,0.506666666666667,0.474666666666667,0.502666666666667,0.493333333333333,0.52,0.496,0.496
"rus18",-0.642986955836128,-0.142956779197981,-0.322287547384812,-0.155946363465325,-0.121967259266419,-0.129701298632794,-0.089394552938862,-0.202887326924914,-0.0214257977253428,1,0.00633492236906331,-0.617861881270452,0.368288733158517,0.365347682639211,0.617907029085498,0.556464405920325,0.298984428787992,0.589468458280825,0.770248066999457,0.334010830389544,0.390348782087721,-0.469969236852887,-0.276375480772303,-0.244572602141991,-0.492015760114522,-0.280274730532235,-0.148846574387324,-0.123779781569051,0.168,0.428,0.334666666666667,0.414666666666667,0.442666666666667,0.432,0.446666666666667,0.393333333333333,0.482666666666667,1,0.504,0.182666666666667,0.694666666666667,0.685333333333333,0.826666666666667,0.782666666666667,0.658666666666667,0.798666666666667,0.894666666666667,0.676,0.708,0.258666666666667,0.368,0.372,0.244,0.357333333333333,0.426666666666667,0.433333333333333,0.035697014259947,-0.0165891418990034,0.00673746226915876,-0.0107746843578988,-0.0158443399389146,-0.00803193686737176,-0.0218180882526116,0.0225941353999809,-0.0317866770757051,1,-0.0209299557872339,-0.00581445187387397,0.00106235476964575,-0.00952828702272752,-0.0139775727684735,-0.0469011798959233,-0.0199983587723138,0.10424681347389,0.0679189543246484,-0.0180360609980838,-0.075008203317826,0.0258184424212593,-0.00201766783467548,0.0120691862860709,0.0220738031280569,0.0699831301546276,-0.0231028830790733,-0.0205602765834786,0.525333333333333,0.488,0.510666666666667,0.498666666666667,0.492,0.493333333333333,0.486666666666667,0.518666666666667,0.474666666666667,1,0.482666666666667,0.506666666666667,0.508,0.493333333333333,0.501333333333333,0.48,0.498666666666667,0.554666666666667,0.534666666666667,0.489333333333333,0.456,0.518666666666667,0.497333333333333,0.505333333333333,0.510666666666667,0.534666666666667,0.497333333333333,0.488
