"","mean.the1","mean.the10","mean.the11","mean.the12","mean.the13","mean.the14","mean.the15","mean.the16","mean.the17","mean.the18","mean.the19","mean.the2","mean.the20","mean.the21","mean.the22","mean.the23","mean.the24","mean.the25","mean.the26","mean.the27","mean.the28","mean.the29","mean.the3","mean.the30","mean.the31","mean.the32","mean.the33","mean.the34","mean.the35","mean.the36","mean.the37","mean.the38","mean.the39","mean.the4","mean.the5","mean.the6","mean.the7","mean.the8","mean.the9","support.the1","support.the10","support.the11","support.the12","support.the13","support.the14","support.the15","support.the16","support.the17","support.the18","support.the19","support.the2","support.the20","support.the21","support.the22","support.the23","support.the24","support.the25","support.the26","support.the27","support.the28","support.the29","support.the3","support.the30","support.the31","support.the32","support.the33","support.the34","support.the35","support.the36","support.the37","support.the38","support.the39","support.the4","support.the5","support.the6","support.the7","support.the8","support.the9","mean.the1.1","mean.the10.1","mean.the11.1","mean.the12.1","mean.the13.1","mean.the14.1","mean.the15.1","mean.the16.1","mean.the17.1","mean.the18.1","mean.the19.1","mean.the2.1","mean.the20.1","mean.the21.1","mean.the22.1","mean.the23.1","mean.the24.1","mean.the25.1","mean.the26.1","mean.the27.1","mean.the28.1","mean.the29.1","mean.the3.1","mean.the30.1","mean.the31.1","mean.the32.1","mean.the33.1","mean.the34.1","mean.the35.1","mean.the36.1","mean.the37.1","mean.the38.1","mean.the39.1","mean.the4.1","mean.the5.1","mean.the6.1","mean.the7.1","mean.the8.1","mean.the9.1","support.the1.1","support.the10.1","support.the11.1","support.the12.1","support.the13.1","support.the14.1","support.the15.1","support.the16.1","support.the17.1","support.the18.1","support.the19.1","support.the2.1","support.the20.1","support.the21.1","support.the22.1","support.the23.1","support.the24.1","support.the25.1","support.the26.1","support.the27.1","support.the28.1","support.the29.1","support.the3.1","support.the30.1","support.the31.1","support.the32.1","support.the33.1","support.the34.1","support.the35.1","support.the36.1","support.the37.1","support.the38.1","support.the39.1","support.the4.1","support.the5.1","support.the6.1","support.the7.1","support.the8.1","support.the9.1"
"the1",1,0.0110234696059248,0.0452988155540128,0.0297985147764866,-0.0221040895740857,0.0220311603803579,-0.0236443185597516,-0.000101762866235155,0.0268039864529366,-0.0478716754822174,0.0140980447539927,0.0818029308505225,0.0374657094274636,0.0464885486332326,0.0819526366655706,0.0596549711888546,0.12071440637877,0.110615399314649,-0.0712863507440272,-0.0140139776372132,-0.0396073266247643,0.00717777972550042,0.173126571346368,-0.0464468517683167,0.0218515101858098,-0.089760578440062,-0.108291168029294,-0.0500328899118391,-0.0439985802814573,-0.0301287469407212,0.0161868085740859,0.0077485444316741,-0.0563343442090496,0.12912782278766,0.13949186000362,-0.00187506483846183,-0.105504590737268,0.0512099826818361,0.00376792679116196,1,0.501111111111111,0.516666666666667,0.52,0.498888888888889,0.512222222222222,0.481111111111111,0.498888888888889,0.522222222222222,0.473333333333333,0.514444444444444,0.546666666666667,0.516666666666667,0.525555555555556,0.538888888888889,0.523333333333333,0.557777777777778,0.564444444444444,0.46,0.492222222222222,0.48,0.498888888888889,0.593333333333333,0.477777777777778,0.516666666666667,0.452222222222222,0.438888888888889,0.475555555555556,0.475555555555556,0.492222222222222,0.502222222222222,0.505555555555556,0.463333333333333,0.57,0.565555555555556,0.505555555555556,0.44,0.52,0.504444444444444,1,-0.000603207900308145,-0.022161123625483,-0.0448967690713674,-0.0270508864744418,0.00852109606508542,-0.0022001441975719,-0.0186402640093384,-0.0065459432055974,0.0167128950414395,0.0155242601336971,0.0350808913769057,0.0255024876540731,-0.0150946886128599,0.0166546693165733,0.0130551906695268,0.000359784265460132,0.0472320200270271,-0.0227889702987109,-0.0221165227146711,0.0122098181359076,0.0641498830784535,0.0426070870440971,-0.0110696673994346,0.0138345271582164,-0.0212617088089532,0.00973637344073674,-0.0375345525522782,0.00797332139701024,0.00559906629120995,0.0257076376900932,-0.0123038827659655,0.0689951112644436,0.0337901867966596,0.0552585724903948,-0.0164305641118929,-0.0444166357616239,0.0155420147355372,0.0136430175549277,1,0.503333333333333,0.485555555555556,0.472222222222222,0.49,0.505555555555556,0.5,0.494444444444444,0.497777777777778,0.506666666666667,0.507777777777778,0.525555555555556,0.512222222222222,0.487777777777778,0.514444444444444,0.511111111111111,0.495555555555556,0.53,0.494444444444444,0.477777777777778,0.507777777777778,0.533333333333333,0.521111111111111,0.498888888888889,0.507777777777778,0.485555555555556,0.504444444444444,0.474444444444444,0.504444444444444,0.512222222222222,0.51,0.495555555555556,0.535555555555556,0.514444444444444,0.527777777777778,0.492222222222222,0.481111111111111,0.511111111111111,0.508888888888889
"the10",0.0110234696059248,1,0.0371173910489623,0.00231228435166178,0.0312095255867212,0.0330002627179667,-0.0140803129751916,-0.0502898780266348,0.0102641793267729,0.0146660182258829,0.0200774722636607,0.0182223256361761,-0.00342100820159123,-0.0382516431192657,0.0126178699566592,0.0447144096549216,0.0565189564309143,0.049872011766135,-0.0130171398599803,-0.0293506894580396,0.015267971647394,-0.0308805112024997,-0.0197579199762562,-0.051896997695722,-0.0327491696763189,-0.0527778120717074,-0.0252617672124447,-0.0288123691733959,-0.0483205944884458,-0.0541511851383281,0.00399320254459743,-0.0146752795081991,-0.00963965352256592,-0.0456591739245348,0.0132785276444574,0.0295377589131481,-0.0203746082111039,0.0549352541259522,-0.00415097805935614,0.501111111111111,1,0.518888888888889,0.497777777777778,0.52,0.513333333333333,0.497777777777778,0.478888888888889,0.494444444444444,0.513333333333333,0.506666666666667,0.508888888888889,0.503333333333333,0.475555555555556,0.508888888888889,0.524444444444444,0.527777777777778,0.527777777777778,0.501111111111111,0.487777777777778,0.511111111111111,0.477777777777778,0.491111111111111,0.472222222222222,0.484444444444444,0.465555555555556,0.492222222222222,0.491111111111111,0.47,0.468888888888889,0.495555555555556,0.496666666666667,0.493333333333333,0.473333333333333,0.503333333333333,0.522222222222222,0.496666666666667,0.53,0.5,-0.000603207900308141,1,0.0140166670395085,0.070869104392368,0.0417444989816025,0.0312938652575786,0.00759917267211838,-0.0213784790577817,0.0271915913415791,0.0389377873618239,-0.0037174463516653,0.00657981577790984,0.000439259595171438,0.00802830738253563,0.0403365955489666,-0.00787914031355453,0.0395152877510082,0.0179223945033344,0.0467513599650213,-0.0152015234857923,0.0362818803670959,-0.00988409768358224,-0.0480875135559969,-0.0245705852150778,0.0407926144919361,0.0459120658077301,-0.00956031623568898,0.0451517208723788,-0.0196985544986239,-0.00440229428430663,0.0359830648642595,-0.0271744118686654,0.0262444973418301,-0.02518214273987,-0.04001591608857,0.0303729920822296,-0.0385405083869084,0.013007806485326,-0.0219073727492213,0.503333333333333,1,0.505555555555556,0.542222222222222,0.52,0.51,0.508888888888889,0.487777777777778,0.514444444444444,0.513333333333333,0.498888888888889,0.495555555555556,0.49,0.505555555555556,0.514444444444444,0.49,0.522222222222222,0.512222222222222,0.526666666666667,0.49,0.524444444444444,0.494444444444444,0.475555555555556,0.476666666666667,0.521111111111111,0.524444444444444,0.492222222222222,0.527777777777778,0.483333333333333,0.494444444444444,0.515555555555556,0.488888888888889,0.516666666666667,0.486666666666667,0.484444444444444,0.512222222222222,0.483333333333333,0.507777777777778,0.484444444444444
"the11",0.0452988155540128,0.0371173910489623,1,0.030772589731244,0.0211726977141022,0.0554439110900381,0.0247616883574386,0.0363618822573266,0.0209794417204123,0.0312632592768212,0.0332781411198003,-0.00421024454602648,-0.00910136949964943,-0.0317824084989883,0.0471437569234167,0.0284728583507497,0.0807994968755138,0.0713362186965088,-0.0564204904453298,-0.0156422674524461,-0.00766141351687927,-0.034481916792109,0.0123675139167286,-0.019967264192072,-0.0529380666399681,-0.103191739382558,-0.0210198657425178,-0.03416603010931,0.00874719391078127,-0.0201033737796377,0.00618571837358932,-0.00807127265060553,0.0216788018974011,0.0301497154259566,0.037192763013018,0.0411767572180457,-0.023119032265198,0.0488290433397485,0.0245100719485218,0.516666666666667,0.518888888888889,1,0.516666666666667,0.517777777777778,0.532222222222222,0.511111111111111,0.53,0.508888888888889,0.518888888888889,0.521111111111111,0.491111111111111,0.496666666666667,0.482222222222222,0.525555555555556,0.513333333333333,0.538888888888889,0.533333333333333,0.47,0.5,0.493333333333333,0.483333333333333,0.502222222222222,0.487777777777778,0.476666666666667,0.442222222222222,0.485555555555556,0.485555555555556,0.506666666666667,0.486666666666667,0.5,0.501111111111111,0.508888888888889,0.518888888888889,0.518888888888889,0.518888888888889,0.487777777777778,0.522222222222222,0.522222222222222,-0.022161123625483,0.0140166670395085,1,0.0105354101707092,0.0320283618157363,0.0629299856570411,-0.00677925327204207,-0.0016696550977691,0.0658113022812928,-0.0152997808739811,-0.00630765787513714,0.0297652912156378,-0.0226193614221897,0.0452566570793522,0.0437762075527692,0.0277061305254027,0.0431398721459226,-0.0245541016011858,0.0130190813367218,-0.026072105968857,0.0335962631826544,0.0156660384627835,0.016684502166421,-0.0483755603025013,0.0430057212683133,-0.0221944235643276,-0.0311940466533936,-0.0328500358434979,0.0200374136207945,-0.0334796575746263,0.0186709947444884,0.0183901921149888,0.0266343994610741,-0.00147835245369246,-0.0175445000929336,0.0206920495896799,-0.0220243522137804,0.0185735488186001,0.00862289269054765,0.485555555555556,0.505555555555556,1,0.506666666666667,0.52,0.542222222222222,0.494444444444444,0.494444444444444,0.542222222222222,0.495555555555556,0.504444444444444,0.513333333333333,0.483333333333333,0.526666666666667,0.524444444444444,0.516666666666667,0.526666666666667,0.483333333333333,0.507777777777778,0.481111111111111,0.515555555555556,0.495555555555556,0.512222222222222,0.47,0.525555555555556,0.491111111111111,0.477777777777778,0.477777777777778,0.517777777777778,0.484444444444444,0.506666666666667,0.506666666666667,0.514444444444444,0.501111111111111,0.488888888888889,0.511111111111111,0.482222222222222,0.502222222222222,0.51
"the12",0.0297985147764866,0.00231228435166178,0.030772589731244,1,-0.00236151079486762,0.0305614979829885,0.012635857135163,-0.0124471479694472,-0.0159813312351424,-0.0121605143624344,-0.0260945032896274,-0.0155709050437648,-0.00538951065460376,0.0301801246806982,0.0481977722200313,0.0513123111505141,0.0730284029947845,0.0965389624115151,-0.00924278136864148,-0.00438477125918109,0.017982401626335,0.00927774038129075,0.0170417575813868,-0.0497687281129601,0.00103051016926178,-0.0328392681318765,-0.0695367112465983,0.00152510558636616,-0.0713927103075731,-0.0143325133831515,-0.0332672931891009,-0.0345430894504437,0.00503651951051098,0.0425840828395405,0.040556521843038,0.048658342424522,-0.0600140463752674,0.0532274248399678,0.0121691308057346,0.52,0.497777777777778,0.516666666666667,1,0.488888888888889,0.514444444444444,0.5,0.501111111111111,0.49,0.483333333333333,0.482222222222222,0.492222222222222,0.498888888888889,0.517777777777778,0.528888888888889,0.53,0.533333333333333,0.557777777777778,0.49,0.498888888888889,0.511111111111111,0.5,0.51,0.476666666666667,0.502222222222222,0.482222222222222,0.458888888888889,0.493333333333333,0.463333333333333,0.486666666666667,0.481111111111111,0.481111111111111,0.514444444444444,0.532222222222222,0.525555555555556,0.518888888888889,0.465555555555556,0.524444444444444,0.508888888888889,-0.0448967690713674,0.070869104392368,0.0105354101707092,1,-6.65798513538208e-05,0.0301231344403399,-0.0109346789887383,0.0203735456479137,0.00513863132013253,-0.0038395441420261,0.0327146397721986,-0.0269080692872529,0.0113653697917181,-0.00793681807875987,0.022581302487756,0.00902499816949505,0.0399589515475411,-0.0414221748526432,-0.0554528318688164,0.0283243844902682,-0.0475805291114764,-0.0676755777101082,0.0156422904796408,0.0136942389611755,-0.0014399759708294,-0.00191782902752951,-0.0182813486155848,-0.0230813391647516,-0.0283683800493225,-0.0177813387264156,-0.032928271764796,-0.0587297142471547,-0.0325912199525453,-0.041386889043239,-0.00816577020570115,-0.0101198413908613,0.0139009151272778,0.00119866779474935,0.0795058184453817,0.472222222222222,0.542222222222222,0.506666666666667,1,0.498888888888889,0.515555555555556,0.502222222222222,0.51,0.496666666666667,0.503333333333333,0.515555555555556,0.481111111111111,0.5,0.493333333333333,0.51,0.504444444444444,0.523333333333333,0.474444444444444,0.47,0.513333333333333,0.478888888888889,0.46,0.506666666666667,0.504444444444444,0.502222222222222,0.495555555555556,0.485555555555556,0.487777777777778,0.49,0.488888888888889,0.48,0.47,0.491111111111111,0.471111111111111,0.495555555555556,0.491111111111111,0.505555555555556,0.493333333333333,0.552222222222222
"the13",-0.0221040895740857,0.0312095255867212,0.0211726977141022,-0.00236151079486762,1,0.0252131045610303,0.048834396856036,0.00313665948726977,0.0161665326054973,0.0544391801970482,-0.0215296945279269,-0.0115151911631277,-0.0201997562791633,-0.00565119723623021,-0.00874831329066324,-0.0172828191069272,0.0271470129080258,0.0539850068054541,0.0132669723309794,0.00680429706574009,-0.0415688558957373,-0.00977294521658402,-0.0214722534685567,-0.0110388644299011,0.00154938822363618,0.0132370207177627,-0.0130272928791041,0.00379621678563829,-0.00717036436830071,0.0343412980303803,-0.0320102770416741,-0.00498905991062494,-0.0463565802976666,-0.0354091607996556,0.0362779958699149,0.0394342369040781,-0.00359628034314823,-0.0316385132170469,-0.0106146006897724,0.498888888888889,0.52,0.517777777777778,0.488888888888889,1,0.51,0.53,0.503333333333333,0.508888888888889,0.536666666666667,0.493333333333333,0.498888888888889,0.482222222222222,0.502222222222222,0.502222222222222,0.481111111111111,0.524444444444444,0.534444444444444,0.506666666666667,0.511111111111111,0.48,0.494444444444444,0.487777777777778,0.49,0.498888888888889,0.503333333333333,0.497777777777778,0.51,0.488888888888889,0.515555555555556,0.48,0.502222222222222,0.475555555555556,0.491111111111111,0.516666666666667,0.522222222222222,0.504444444444444,0.486666666666667,0.495555555555556,-0.0270508864744418,0.0417444989816025,0.0320283618157363,-6.65798513538268e-05,1,0.0031962733497932,-0.0451156229638143,0.0188455723390145,0.0682660577471458,-0.0327139260158613,0.0239950394090606,-0.0245745929499831,0.041024467313447,-0.00428095833959993,-0.0511924313548561,0.0257483614820586,0.0313696649351872,-0.0528384483178127,-0.0129893670773526,-0.044316693541133,0.0350462522740932,0.0273735042724123,-0.00273343726437328,0.0192708760462181,-0.0161063487808673,0.0223568500540746,-0.00766042342767908,0.00761827695783093,-0.0138990193504332,-0.0313932442673033,-0.0101873149346627,-0.0221693827721717,0.012643707640581,-0.00537511332609202,-0.0466668995273405,-0.0483663514693286,0.0191107548192812,-0.00111187883840581,0.0450438879264091,0.49,0.52,0.52,0.498888888888889,1,0.498888888888889,0.474444444444444,0.505555555555556,0.528888888888889,0.482222222222222,0.517777777777778,0.494444444444444,0.524444444444444,0.501111111111111,0.468888888888889,0.507777777777778,0.52,0.478888888888889,0.488888888888889,0.48,0.522222222222222,0.512222222222222,0.501111111111111,0.511111111111111,0.488888888888889,0.507777777777778,0.497777777777778,0.511111111111111,0.482222222222222,0.484444444444444,0.493333333333333,0.481111111111111,0.511111111111111,0.5,0.471111111111111,0.476666666666667,0.505555555555556,0.498888888888889,0.527777777777778
"the14",0.0220311603803579,0.0330002627179667,0.0554439110900381,0.0305614979829885,0.0252131045610303,1,0.0519544711750794,0.0264793543441089,-0.00566156215439771,0.0227301027590697,0.00419081657383912,0.0623061460348593,0.0341757454477001,-0.00141593956349588,-0.00558430668577983,0.0433519428949546,0.10203681450615,0.114317624984478,-0.0163887565114631,0.0177757586615921,-0.00953471790349979,0.00448531694277372,0.0391294110846611,-0.0141562493605824,0.00921703298211629,-0.0334329083506651,-0.0435849481241921,0.0228881910742166,-0.0235682813295405,0.0084664000414972,0.00884518712250171,-0.0250082753374602,-0.0702019057150308,0.0882325682755799,0.0282963447777828,-0.0180845377092977,-0.0923609612487294,-0.0112533560255868,-0.0123418044606556,0.512222222222222,0.513333333333333,0.532222222222222,0.514444444444444,0.51,1,0.528888888888889,0.512222222222222,0.497777777777778,0.504444444444444,0.496666666666667,0.531111111111111,0.523333333333333,0.497777777777778,0.498888888888889,0.525555555555556,0.555555555555556,0.562222222222222,0.49,0.514444444444444,0.496666666666667,0.504444444444444,0.522222222222222,0.493333333333333,0.507777777777778,0.488888888888889,0.474444444444444,0.516666666666667,0.486666666666667,0.507777777777778,0.51,0.487777777777778,0.46,0.544444444444444,0.521111111111111,0.488888888888889,0.446666666666667,0.493333333333333,0.498888888888889,0.00852109606508542,0.0312938652575786,0.0629299856570411,0.0301231344403399,0.0031962733497932,1,0.0217892783733207,0.00401113305297742,0.0255670374395412,-0.0285162127608336,0.00301244542096218,0.0019945297519892,-0.0208520552287923,0.0926873587501533,0.0011979399970785,0.0158692080053186,0.0129877316185877,-0.0140067677947532,0.00371539490015829,0.0181629668508353,0.0276537633630081,-0.0144593862616272,0.00410895069998765,-0.0311862653445552,0.0609734880525661,0.0101320369081665,-0.032689953185003,0.0279716059610341,0.0418375246276283,-0.00785093410235081,-0.0421218059807485,-0.0615075410074514,0.0117628513796225,0.0164931503066474,0.00904560152539353,-0.0185319760699885,-0.0746528091814695,-0.0310928705403646,-0.018975664060189,0.505555555555556,0.51,0.542222222222222,0.515555555555556,0.498888888888889,1,0.515555555555556,0.508888888888889,0.508888888888889,0.488888888888889,0.494444444444444,0.51,0.488888888888889,0.556666666666667,0.505555555555556,0.512222222222222,0.518888888888889,0.49,0.506666666666667,0.513333333333333,0.51,0.494444444444444,0.494444444444444,0.484444444444444,0.534444444444444,0.501111111111111,0.486666666666667,0.514444444444444,0.513333333333333,0.498888888888889,0.482222222222222,0.47,0.498888888888889,0.505555555555556,0.504444444444444,0.487777777777778,0.466666666666667,0.482222222222222,0.492222222222222
"the15",-0.0236443185597516,-0.0140803129751916,0.0247616883574386,0.012635857135163,0.048834396856036,0.0519544711750794,1,0.011171186304558,-0.00626922122417515,0.0332432604776799,0.0330280114553114,0.0466466946385726,0.0122839843273092,0.0505269920014316,0.0228592694617747,0.0208530119015534,0.0454140707889974,0.0616787348160253,0.0199936021228773,0.0202744345727038,0.0209480081289859,-0.0772716715014715,0.0136706587875971,0.0173044491067539,-0.0192751444603608,-0.046377619075678,-0.0453876378791846,-0.00241669505769075,-0.0643250552364826,-0.0462960981614975,0.0192642117067091,-0.0899360506705354,0.0520476550496284,0.0790900457398904,-0.00543745190460196,-0.00124314485863891,-0.0604900203284859,-0.00587289850596891,0.0215796466846191,0.481111111111111,0.497777777777778,0.511111111111111,0.5,0.53,0.528888888888889,1,0.516666666666667,0.494444444444444,0.517777777777778,0.521111111111111,0.522222222222222,0.511111111111111,0.534444444444444,0.522222222222222,0.512222222222222,0.522222222222222,0.524444444444444,0.51,0.507777777777778,0.516666666666667,0.453333333333333,0.514444444444444,0.511111111111111,0.49,0.474444444444444,0.47,0.503333333333333,0.462222222222222,0.481111111111111,0.512222222222222,0.445555555555556,0.53,0.543333333333333,0.502222222222222,0.5,0.464444444444444,0.502222222222222,0.515555555555556,-0.0022001441975719,0.00759917267211838,-0.00677925327204207,-0.0109346789887383,-0.0451156229638143,0.0217892783733207,1,0.0244771374403769,-0.0117993973670533,0.0179631866536901,0.0169694970778721,-0.00611864611038943,0.0373912096183486,0.0469892935893696,0.021624914279337,0.0101864996698368,0.0457623487451309,0.012097529578634,-0.0386409083471258,0.00884621439781612,-0.00740059494227073,-0.00944053386454254,0.0148832368866077,-0.0382346918447684,0.0316062458951906,-0.0643097561161646,0.0363341603335733,0.0273640622593409,-0.0165504207899459,-0.0030998609455133,0.0197694738500809,0.0255154311601878,-0.0228888449468451,-0.0257299958937456,0.0228523263836431,-0.03650704925334,-0.0225091663824254,-0.00153908024724208,0.0108247808302945,0.5,0.508888888888889,0.494444444444444,0.502222222222222,0.474444444444444,0.515555555555556,1,0.512222222222222,0.494444444444444,0.502222222222222,0.516666666666667,0.502222222222222,0.514444444444444,0.516666666666667,0.504444444444444,0.502222222222222,0.525555555555556,0.51,0.483333333333333,0.501111111111111,0.495555555555556,0.495555555555556,0.514444444444444,0.482222222222222,0.511111111111111,0.458888888888889,0.514444444444444,0.512222222222222,0.502222222222222,0.497777777777778,0.515555555555556,0.512222222222222,0.492222222222222,0.481111111111111,0.512222222222222,0.482222222222222,0.484444444444444,0.491111111111111,0.517777777777778
"the16",-0.000101762866235155,-0.0502898780266348,0.0363618822573266,-0.0124471479694472,0.00313665948726977,0.0264793543441089,0.011171186304558,1,-0.000318656331204633,0.0244314849817888,0.0218000271992233,-0.050878253001156,0.000573147579288742,-0.00231736641273886,0.00744851612749752,0.004461264516107,0.0056729998372456,-0.00261823087689925,-0.0518043225822813,-0.00571881519475133,-0.0305267818348232,-0.0134607151860085,-0.0323071444479493,-0.0208643839786146,-0.0210371498863362,0.0186080052464608,0.0065485098689287,-0.00475904672029377,0.0122141565957715,0.0124650143491527,0.000322951122662384,0.0137037669796174,-0.0340256816490763,-0.0133808459997477,-0.00366103967670902,-0.00859115591177199,0.0100148554092663,0.0406891657047947,0.0300383411380843,0.498888888888889,0.478888888888889,0.53,0.501111111111111,0.503333333333333,0.512222222222222,0.516666666666667,1,0.5,0.51,0.512222222222222,0.471111111111111,0.502222222222222,0.495555555555556,0.503333333333333,0.504444444444444,0.496666666666667,0.501111111111111,0.472222222222222,0.5,0.476666666666667,0.492222222222222,0.491111111111111,0.488888888888889,0.498888888888889,0.508888888888889,0.498888888888889,0.5,0.514444444444444,0.503333333333333,0.495555555555556,0.507777777777778,0.486666666666667,0.486666666666667,0.486666666666667,0.501111111111111,0.501111111111111,0.522222222222222,0.513333333333333,-0.0186402640093384,-0.0213784790577817,-0.0016696550977691,0.0203735456479137,0.0188455723390145,0.00401113305297741,0.0244771374403769,1,0.0431753704454207,0.0321997603158128,0.0638358991506506,-0.00908844031243272,-0.0118915095115615,0.0285623894855726,0.0173657000164843,0.0289962831156488,0.00430921293169816,0.0302931426907332,-0.0176511249872938,0.00930922971127537,0.0208783077507832,0.00755656700310048,-0.0016026223454346,-0.0257310746295509,0.0294134226584833,0.0357559729061503,0.0144137926581482,-0.0319410511511406,0.012897783153033,0.0035028987348167,0.00855465397858353,0.0265432156346048,-0.0282375679192536,0.00618843343140685,-0.026344619473455,-0.0189206929181964,-0.0147046596061234,0.0294982767077415,0.0545132911950962,0.494444444444444,0.487777777777778,0.494444444444444,0.51,0.505555555555556,0.508888888888889,0.512222222222222,1,0.528888888888889,0.516666666666667,0.53,0.495555555555556,0.497777777777778,0.521111111111111,0.51,0.522222222222222,0.497777777777778,0.515555555555556,0.494444444444444,0.497777777777778,0.506666666666667,0.498888888888889,0.49,0.491111111111111,0.516666666666667,0.517777777777778,0.508888888888889,0.477777777777778,0.506666666666667,0.505555555555556,0.506666666666667,0.507777777777778,0.485555555555556,0.5,0.486666666666667,0.484444444444444,0.496666666666667,0.514444444444444,0.531111111111111
"the17",0.0268039864529365,0.0102641793267729,0.0209794417204123,-0.0159813312351424,0.0161665326054973,-0.00566156215439771,-0.00626922122417515,-0.000318656331204629,1,0.0476458878434868,-0.00963794103757266,-0.0129047493000021,0.0343916472675355,0.0308315273459844,0.0310471376419563,0.0310519340229327,0.00229931098300522,0.0483739645752967,-0.0181312179146744,0.000472720155701324,-0.01323941317022,-0.0323312834568626,0.0386538617024983,0.0100303421794501,0.0368836010111035,-0.0598101333083247,-0.025761304883772,0.0435989065185647,-0.0687619068331641,-0.0632079556188672,0.0243713844930595,0.00972296260851353,-0.023864234337006,0.0518988897097421,-0.0259989375666945,0.0312445247497936,-0.0973020462249923,0.0181737258310174,0.00369566203840769,0.522222222222222,0.494444444444444,0.508888888888889,0.49,0.508888888888889,0.497777777777778,0.494444444444444,0.5,1,0.533333333333333,0.492222222222222,0.5,0.521111111111111,0.514444444444444,0.522222222222222,0.51,0.504444444444444,0.527777777777778,0.485555555555556,0.501111111111111,0.495555555555556,0.483333333333333,0.511111111111111,0.503333333333333,0.524444444444444,0.462222222222222,0.491111111111111,0.52,0.464444444444444,0.47,0.508888888888889,0.497777777777778,0.486666666666667,0.525555555555556,0.481111111111111,0.52,0.448888888888889,0.507777777777778,0.502222222222222,-0.0065459432055974,0.0271915913415791,0.0658113022812928,0.00513863132013253,0.0682660577471458,0.0255670374395412,-0.0117993973670533,0.0431753704454207,1,0.0315233598592535,0.0568460665898591,-0.0399675277238508,-0.00708523943719969,0.0161352340742034,0.0422353690848196,-0.0141906440480377,0.0252089417625737,-0.0500552742084199,0.0331820994880659,0.0128763424407386,-0.0178813208533148,-0.0183080953217198,-0.0437633546509787,-0.0620574282566974,0.00581105528286953,-0.0261980349893942,0.00691486267321323,0.00955459198816682,0.0190815435317613,-0.00673966073214839,-0.0201333748672896,-0.0170119544081348,0.0352888961474596,-0.0149834216625761,-0.0248898960811856,-0.0380015826687908,-0.0240063626978496,-0.0241452899303304,0.0572800505441717,0.497777777777778,0.514444444444444,0.542222222222222,0.496666666666667,0.528888888888889,0.508888888888889,0.494444444444444,0.528888888888889,1,0.511111111111111,0.526666666666667,0.475555555555556,0.488888888888889,0.495555555555556,0.517777777777778,0.493333333333333,0.525555555555556,0.476666666666667,0.522222222222222,0.514444444444444,0.491111111111111,0.492222222222222,0.462222222222222,0.468888888888889,0.501111111111111,0.472222222222222,0.508888888888889,0.512222222222222,0.515555555555556,0.497777777777778,0.486666666666667,0.493333333333333,0.516666666666667,0.491111111111111,0.484444444444444,0.473333333333333,0.484444444444444,0.488888888888889,0.542222222222222
"the18",-0.0478716754822174,0.0146660182258829,0.0312632592768212,-0.0121605143624344,0.0544391801970482,0.0227301027590697,0.0332432604776799,0.0244314849817888,0.0476458878434868,1,0.0265294721315823,-0.0110788135936473,0.00797142843052668,0.0332180650365378,0.0481291836080118,0.0060936063138174,0.0130866044335696,0.0578810120771373,-0.0706644583711939,0.020758764938577,-0.0173331012353845,-0.0228454227723532,-0.00103376832870225,0.00384652487540752,-0.0131849029849727,-0.0163910642139298,-0.0492091938109847,0.0310607309667422,-0.00867092847063537,0.0031853589216095,0.0229008026948945,0.00535676667124227,-0.0390459494072633,-0.0149618471957446,-0.0382143631478701,0.0327303657947445,-0.0616016818802219,0.0344705521103721,-0.011194639820827,0.473333333333333,0.513333333333333,0.518888888888889,0.483333333333333,0.536666666666667,0.504444444444444,0.517777777777778,0.51,0.533333333333333,1,0.516666666666667,0.494444444444444,0.505555555555556,0.525555555555556,0.525555555555556,0.507777777777778,0.508888888888889,0.532222222222222,0.458888888888889,0.502222222222222,0.488888888888889,0.483333333333333,0.5,0.514444444444444,0.492222222222222,0.484444444444444,0.478888888888889,0.52,0.493333333333333,0.505555555555556,0.508888888888889,0.508888888888889,0.475555555555556,0.496666666666667,0.482222222222222,0.515555555555556,0.475555555555556,0.511111111111111,0.49,0.0167128950414395,0.0389377873618238,-0.0152997808739811,-0.00383954414202611,-0.0327139260158613,-0.0285162127608336,0.0179631866536901,0.0321997603158128,0.0315233598592535,1,0.019686590545076,0.0155282907944415,0.0295767551531153,-0.00439598997290292,0.016339589601019,0.0558832225375281,-0.040432031779165,0.0210707504160111,0.00856253973710549,0.0154821383657831,0.0141675057104934,0.0138086834228693,-0.0322215687671952,-0.0461951297281585,-0.0163986539747237,-0.00217761226353011,0.0139311870712083,-0.00888989677141601,-0.0261200992539978,0.000113176898706557,0.0740575530384236,0.0209334560843149,0.0361950652358715,0.0288512072244504,0.011841053597061,-0.0111849926039865,-0.00155109335305839,-0.015269908375853,-0.0195846172013955,0.506666666666667,0.513333333333333,0.495555555555556,0.503333333333333,0.482222222222222,0.488888888888889,0.502222222222222,0.516666666666667,0.511111111111111,1,0.51,0.511111111111111,0.515555555555556,0.496666666666667,0.51,0.528888888888889,0.48,0.515555555555556,0.512222222222222,0.505555555555556,0.504444444444444,0.511111111111111,0.493333333333333,0.468888888888889,0.487777777777778,0.494444444444444,0.515555555555556,0.493333333333333,0.491111111111111,0.501111111111111,0.536666666666667,0.51,0.51,0.504444444444444,0.513333333333333,0.495555555555556,0.505555555555556,0.496666666666667,0.491111111111111
