"Orc_species","lat","lon","rus1","rus10","rus11","rus12","rus13","rus14","rus15","rus16","rus17","rus18","rus19","rus2","rus20","rus21","rus22","rus23","rus24","rus25","rus26","rus27","rus28","rus3","rus4","rus5","rus6","rus7","rus8","rus9","K","MaxPrec","MinTemp","N","P","pH","population"
"Limodorum abortivum",43.608509,3.871755,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,220,3.20000004768372,NA,NA,NA,"c"
"Limodorum abortivum",43.766933,3.546611,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.620941162109,274,1.20000004768372,0.996380269527435,0,6.31275701522827,"d"
"Limodorum abortivum",43.51425,6.818035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,125.433464050293,311,3,2.5601634979248,0,6.70677995681763,"e"
"Limodorum abortivum",43.651254,5.649002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.119873046875,236,1.10000002384186,1.77267396450043,8.43735408782959,7.27506732940674,"f"
"Limodorum abortivum",48.434033,2.273866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.167343139648,167,0.699999988079071,1.61874842643738,49.3495330810547,7.43557405471802,"g"
"Limodorum abortivum",47.165918,0.23673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,201,1.89999997615814,NA,NA,NA,"h"
"Limodorum abortivum",48.910867,2.924153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.28044128418,177,0.300000011920929,1.67780363559723,51.9751243591309,6.80349731445312,"i"
"Limodorum abortivum",42.118106,9.05762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,169.908462524414,353,-0.100000001490116,2.34916663169861,31.3502960205078,6.35786962509155,"j"
"Limodorum abortivum",44.474503,4.940662,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.550415039062,321,-0.200000002980232,2.14145731925964,11.0885324478149,6.75398635864258,"k"
"Limodorum abortivum",40.681232,14.765187,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,423,4.80000019073486,NA,NA,NA,"l"
"Limodorum abortivum",40.851445,14.273894,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,395,4.80000019073486,NA,NA,NA,"m"
"Limodorum abortivum",41.125312,14.065684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.814819335938,356,3.29999995231628,2.34487080574036,43.1993179321289,7.37211608886719,"n"
"Limodorum abortivum",43.327726,11.324213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.697875976562,272,2.70000004768372,2.27689146995544,10.9444227218628,7.27230215072632,"o"
"Limodorum abortivum",43.542017,10.317728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.446044921875,296,3.5,2.49944949150085,24.0087909698486,7.42286443710327,"p"
"Limodorum abortivum",45.068113,7.687244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,326,-0.699999988079071,NA,NA,NA,"q"
"Limodorum abortivum",39.306455,16.255141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,394,5.90000009536743,NA,NA,NA,"r"
"Limodorum abortivum",39.243732,9.120478,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.656188964844,153,5.69999980926514,1.55320978164673,21.5637741088867,7.44431400299072,"s"
"Limodorum abortivum",42.770775,11.11358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,250,3.09999990463257,NA,NA,NA,"t"
"Limodorum abortivum",41.461972,15.547688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,163,3.70000004768372,NA,NA,NA,"u"
"Neottia ovata ",49.133611,13.503056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.716957092285,311,-5.59999990463257,3.78143334388733,16.7723731994629,5.1916069984436,"ax"
