"Orc_species","lat","lon","seb1","seb10","seb11","seb12","seb13","seb14","seb15","seb16","seb17","seb18","seb19","seb2","seb20","seb21","seb22","seb23","seb24","seb25","seb26","seb27","seb28","seb29","seb3","seb30","seb31","seb32","seb4","seb5","seb6","seb7","seb8","seb9","K","MaxPrec","MinTemp","N","P","pH","population"
"Cephalanthera damasonium",48.35,2.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.54345703125,168,0.5,1.81256413459778,46.6320838928223,7.41684341430664,"b"
"Neottia ovata ",50.757651,5.8295,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,205.276275634766,242,-0.5,3.93004465103149,40.8411407470703,6.03077411651611,"bi"
"Cephalanthera longifolia",43.173696,10.952269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.942962646484,282,1.5,1.9908139705658,18.6624031066895,6.35366487503052,"bk"
"Cephalanthera damasonium ",42.933709,11.866624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,286.160522460938,216,0.600000023841858,2.02397656440735,10.2312965393066,6.6036171913147,"bl"
"Spiranthes spiralis",48.79631,-1.56969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250.111434936523,245.18603515625,3.44069838523865,2.42912483215332,54.518253326416,6.51126289367676,"bm"
"Spiranthes spiralis",54.26178,-8.61585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,198.04377746582,403,2.59999990463257,3.81638169288635,32.1057319641113,5.63617610931396,"bp"
"Spiranthes spiralis",39.06083,26.55076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.485168457031,333,4,2.21955847740173,10.3599548339844,6.8990683555603,"br"
"Spiranthes spiralis",39.00381,26.32637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.397994995117,322,3.5,1.9967668056488,10.2763843536377,6.80684947967529,"bt"
"Spiranthes spiralis",38.9892,26.31498,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.531036376953,308,4.59999990463257,2.01459693908691,10.1963005065918,6.8271427154541,"bv"
"Spiranthes spiralis",40.82348,14.39381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"bw"
