"Orc_species","lat","lon","the1","the10","the11","the12","the13","the14","the15","the16","the17","the18","the19","the2","the20","the21","the22","the23","the24","the25","the26","the27","the28","the29","the3","the30","the31","the32","the33","the34","the35","the36","the37","the38","the39","the4","the5","the6","the7","the8","the9","K","MaxPrec","MinTemp","N","P","pH","population"
"Cephalanthera damasonium",48.35,2.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,360.54345703125,168,0.5,1.81256413459778,46.6320838928223,7.41684341430664,"b"
"Neottia ovata ",49.128889,13.658889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,143.518615722656,338,-5.80000019073486,2.86674046516418,21.1768054962158,5.37324666976929,"an"
"Neottia ovata ",48.35,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,360.54345703125,168,0.5,1.81256413459778,46.6320838928223,7.41684341430664,"bg"
"Neottia ovata ",50.757651,5.8295,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,205.276275634766,242,-0.5,3.93004465103149,40.8411407470703,6.03077411651611,"bi"
"Cephalanthera longifolia",43.508153,10.357236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.275375366211,305,3.40000009536743,2.06238698959351,15.2473573684692,7.41839790344238,"bj"
"Spiranthes spiralis",48.79631,-1.56969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,250.111434936523,245.18603515625,3.44069838523865,2.42912483215332,54.518253326416,6.51126289367676,"bm"
"Spiranthes spiralis",43.93497,3.518619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235.691223144531,299,-0.200000002980232,4.55414247512817,21.7542018890381,7.41829633712769,"bn"
"Spiranthes spiralis",43.94129,3.525601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,216.739898681641,289,0,2.06171250343323,19.3918380737305,7.42171907424927,"bo"
"Spiranthes spiralis",37.89712,14.37238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,250.441833496094,244,2.20000004768372,3.34031438827515,22.0431728363037,6.72998762130737,"bq"
"Spiranthes spiralis",39.06083,26.55076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.485168457031,333,4,2.21955847740173,10.3599548339844,6.8990683555603,"br"
"Spiranthes spiralis",38.9892,26.31498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,226.531036376953,308,4.59999990463257,2.01459693908691,10.1963005065918,6.8271427154541,"bv"
"Spiranthes spiralis",40.82348,14.39381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"bw"
"Spiranthes spiralis",40.82173,14.39474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"bx"
"Spiranthes spiralis",39.02483,26.32138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,185.959777832031,321,3.40000009536743,2.00818753242493,9.49820327758789,7.20851993560791,"by"
"Spiranthes spiralis",37.81393,14.41387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,253.998031616211,247,2.09999990463257,2.7140634059906,14.5967779159546,6.70916032791138,"bz"
"Spiranthes spiralis",43.92146,3.473415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262.247619628906,289,0,5.14064645767212,23.400671005249,7.52115964889526,"ca"
"Spiranthes spiralis",40.50274,14.1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"cc"
"Spiranthes spiralis",52.21013,-6.6253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192.937911987305,317,3.59999990463257,3.2036075592041,46.5089569091797,6.19409322738647,"ce"
"Spiranthes spiralis",40.82338,14.39321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"ci"
"Spiranthes spiralis",41.30991,14.02031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,468.749389648438,325,1.89999997615814,2.1840512752533,11.2773408889771,6.17968320846558,"cj"
"Spiranthes spiralis",37.78321,14.57238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,503.561431884766,242,2.5,1.92940139770508,16.2418766021729,7.23574876785278,"cn"
"Spiranthes spiralis",43.93131,3.510012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.799621582031,283,0.100000001490116,3.8838038444519,15.7681379318237,7.46476268768311,"co"
"Spiranthes spiralis",40.6353,22.97012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256.008148193359,146,0.400000005960464,1.3111172914505,16.7674751281738,7.29584932327271,"cp"
"Spiranthes spiralis",40.82347,14.39286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,270.508178710938,345,2.90000009536743,1.33874714374542,8.77280712127686,6.31015682220459,"cq"
"Spiranthes spiralis",40.8217,14.39482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,446.337585449219,345,2.90000009536743,2.58922505378723,3.85526943206787,6.46283149719238,"cu"
"Spiranthes spiralis",40.82687,14.40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400.253295898438,322,2.29999995231628,1.70782423019409,0.949458301067352,6.24247884750366,"cw"
