"GBAN","cluster","Orc_genre","Orc_species","Fun_order","Fun_family","Fun_genus","Fun_species","lat","lon","geneRegion","DOI","Title","Author","Origin","pubmed","number","Notes","otu"
"AB369931","Cluster 0","Ophrys","Ophrys bertolonii","Cantharellales","tulasnellaceae","Epulorhiza","",42.941653,11.866438,"ITS1F,ITS4","DOI 10.1007/s13213-015-1038-9","Molecular analysis of fungi associated with the Mediterranean orchid Ophrys bertolonii Mor","Lorenzo Pecoraro, Mariangela Girlanda, Zhong-Jian Liu, Laiqiang Huang, Silvia Perotto","environmentalSample",NA,4,"Access codes are from the best results of the BLAST search, not from the samples themselves","tul1"
"AB369932","Cluster 0","Ophrys","Ophrys bertolonii","Cantharellales","tulasnellaceae","Epulorhiza","",42.941653,11.866438,"ITS1F,ITS4","DOI 10.1007/s13213-015-1038-9","Molecular analysis of fungi associated with the Mediterranean orchid Ophrys bertolonii Mor","Lorenzo Pecoraro, Mariangela Girlanda, Zhong-Jian Liu, Laiqiang Huang, Silvia Perotto","environmentalSample",NA,6,"Access codes are from the best results of the BLAST search, not from the samples themselves","tul1"
"AB369932","Cluster 0","Ophrys","Ophrys bertolonii","Cantharellales","tulasnellaceae","Epulorhiza","",42.941653,11.866438,"ITS1F,ITS4","DOI 10.1007/s13213-015-1038-9","Molecular analysis of fungi associated with the Mediterranean orchid Ophrys bertolonii Mor","Lorenzo Pecoraro, Mariangela Girlanda, Zhong-Jian Liu, Laiqiang Huang, Silvia Perotto","environmentalSample",NA,NA,"Access codes are from the best results of the BLAST search, not from the samples themselves","tul1"
"AF440655","Cluster 1","Cephalanthera","Cephalanthera damasonium","Sebacinales","sebacinaceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","seb1"
"AJ318440","Cluster 51","Ophrys","Ophrys bertolonii","Cantharellales","ceratobasidiaceae","Rhizoctonia","",42.941653,11.866438,"ITS1F,ITS4","DOI 10.1007/s13213-015-1038-9","Molecular analysis of fungi associated with the Mediterranean orchid Ophrys bertolonii Mor","Lorenzo Pecoraro, Mariangela Girlanda, Zhong-Jian Liu, Laiqiang Huang, Silvia Perotto","environmentalSample",NA,NA,"Access codes are from the best results of the BLAST search, not from the samples themselves","cer1"
"AM697902","Cluster 71","Ophrys","Ophrys bertolonii","Cantharellales","tulasnellaceae","Epulorhiza","",42.941653,11.866438,"ITS1F,ITS4","DOI 10.1007/s13213-015-1038-9","Molecular analysis of fungi associated with the Mediterranean orchid Ophrys bertolonii Mor","Lorenzo Pecoraro, Mariangela Girlanda, Zhong-Jian Liu, Laiqiang Huang, Silvia Perotto","environmentalSample",NA,3,"Access codes are from the best results of the BLAST search, not from the samples themselves","tul2"
"AY833047","Cluster 80","Cephalanthera","Cephalanthera damasonium","Cantharellales","ceratobasidiaceae","Ceratobasidium","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","cer2"
"AY833051","Cluster 34","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the1"
"AY833052","Cluster 24","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the2"
"AY833053","Cluster 59","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the3"
"AY833054","Cluster 59","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the3"
"AY833055","Cluster 64","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the4"
